OT hour,Downtime,Absent percentage,Precipitation (%),UV Index,Season
17,64,19.5,95,2,Spring
-13,60,9.5,18,7,Winter
34,88,19.5,73,1,Spring
41,90,21.5,103,13,Winter
13,77,5,68,3,Autumn
23,35,3.5,12,7,Spring
16,96,19,57,0,Spring
-7,70,8.5,62,1,Winter
3,90,9.5,87,0,Winter
39,54,0,3,8,Autumn
21,64,19,96,0,Winter
38,69,6.5,19,5,Spring
-6,81,19.5,66,0,Winter
10,80,16.5,99,3,Spring
23,73,14.5,32,4,Autumn
38,21,0,14,2,Autumn
15,97,12.5,62,2,Winter
20,55,2,7,9,Spring
26,82,18,54,1,Autumn
23,60,19.5,62,2,Winter
26,68,4,39,4,Summer
10,99,16,58,2,Autumn
20,42,4,13,5,Autumn
-2,32,1.5,17,1,Winter
-1,94,13,74,0,Winter
28,65,13.5,48,4,Summer
-10,94,7.5,98,1,Winter
41,57,4,19,10,Spring
34,78,14.5,13,1,Summer
33,30,9.5,7,11,Spring
28,56,8.5,12,1,Winter
49,64,4,61,14,Winter
28,77,4.5,68,14,Autumn
34,99,34,74,9,Autumn
-7,97,4.5,73,0,Winter
78,81,8,78,1,Autumn
25,24,9.5,91,13,Winter
31,100,15,90,8,Summer
19,97,9,56,3,Spring
34,97,17.5,76,1,Summer
10,80,17,69,3,Summer
28,76,0.5,16,4,Summer
18,74,0.5,39,1,Autumn
32,63,3,46,1,Summer
-7,82,7.5,57,0,Winter
22,61,8.5,13,2,Spring
63,86,13,75,14,Summer
23,78,15,60,2,Autumn
27,83,16,53,1,Summer
-9,67,13,92,0,Winter
-10,92,17,96,1,Winter
10,68,8,99,3,Spring
35,33,7,5,5,Winter
73,82,47,107,0,Winter
22,89,12,85,11,Winter
2,86,11.5,64,1,Winter
30,71,12,92,2,Spring
30,55,5,31,2,Autumn
14,68,11.5,11,2,Winter
19,91,18.5,97,0,Autumn
34,71,4,35,3,Summer
27,79,14,29,1,Summer
8,78,34.5,106,11,Winter
-3,76,10,85,0,Winter
29,107,0.5,93,8,Spring
27,54,7,11,2,Summer
22,95,35.5,87,11,Winter
24,27,2,12,7,Spring
33,69,8,5,9,Autumn
28,47,11.5,24,9,Autumn
32,59,0.5,18,2,Spring
-10,72,2.5,96,0,Winter
28,108,7.5,83,1,Summer
27,26,9,14,5,Winter
-9,71,9.5,83,1,Winter
28,86,9.5,52,3,Autumn
-4,64,1,85,1,Winter
25,51,5,18,7,Autumn
12,92,20,51,3,Spring
-12,22,6.5,71,1,Spring
14,65,6.5,26,1,Autumn
2,71,11,66,0,Winter
43,24,7,1,9,Summer
-10,84,5,75,0,Winter
1,52,13.5,18,14,Spring
25,86,11,75,0,Autumn
30,96,4.5,97,1,Summer
44,94,9,109,2,Spring
12,89,17.5,75,2,Autumn
20,48,3,10,10,Autumn
32,71,19,92,3,Summer
13,79,11,63,2,Spring
-24,84,23.5,80,0,Winter
22,46,5,1,11,Summer
25,57,3.5,0,10,Summer
-4,69,14.5,56,1,Winter
-10,72,4.5,72,11,Summer
0,73,4,90,1,Winter
41,33,3.5,5,6,Spring
35,50,7,3,7,Autumn
14,95,42.5,106,6,Summer
23,63,5,2,9,Winter
34,31,9.5,9,10,Spring
28,97,12,99,2,Winter
33,63,8.5,93,2,Summer
-2,52,13.5,88,2,Summer
12,88,9.5,76,1,Spring
11,66,13.5,39,2,Summer
19,72,11,25,4,Spring
18,87,18,58,1,Summer
15,98,6,84,2,Autumn
13,76,0,12,3,Spring
34,24,4,13,11,Summer
-7,89,1,63,1,Winter
-8,98,14.5,94,0,Winter
1,70,16.5,59,1,Winter
21,72,19,57,2,Winter
2,105,10.5,109,0,Winter
21,46,7.5,18,7,Summer
-2,72,9.5,98,1,Winter
31,95,19,51,3,Spring
24,77,13.5,89,2,Summer
26,68,15,53,3,Winter
60,86,12,86,9,Autumn
22,72,11,23,2,Winter
48,79,12,88,4,Autumn
32,58,6.5,4,6,Summer
-10,63,17.5,70,0,Winter
26,67,10,27,4,Summer
35,58,3,19,5,Winter
11,76,6,71,7,Summer
26,27,5.5,14,7,Spring
43,50,8,16,5,Summer
33,58,8,41,2,Winter
5,71,9.5,93,6,Winter
23,62,10,20,3,Winter
-6,94,2.5,93,1,Winter
8,87,10,104,1,Winter
-6,106,33,82,1,Winter
31,62,6,21,1,Autumn
32,27,8,18,8,Spring
51,85,13.5,77,12,Autumn
20,86,14,64,1,Autumn
22,58,13.5,20,3,Winter
15,74,19,81,1,Summer
11,82,14.5,96,8,Autumn
19,79,11,53,2,Spring
-14,48,5,74,8,Spring
14,80,13,78,4,Autumn
27,73,12.5,26,4,Winter
21,25,1,14,5,Autumn
-4,89,15.5,75,1,Winter
2,70,17,96,0,Winter
-3,98,0.5,60,0,Winter
42,28,8,1,9,Spring
18,91,18,91,1,Autumn
10,88,18.5,92,6,Winter
50,72,31.5,86,6,Winter
29,63,11.5,52,2,Summer
37,62,6,6,11,Summer
16,87,14,50,0,Summer
28,52,13.5,30,3,Spring
16,78,15,55,0,Summer
11,50,14,15,4,Summer
18,61,5,19,2,Spring
1,65,8,62,0,Winter
12,70,2.5,43,2,Autumn
12,22,1,66,13,Winter
12,97,5.5,86,3,Winter
3,73,10.5,65,1,Winter
-7,79,13,86,0,Winter
21,28,7.5,14,10,Summer
39,74,9,87,7,Winter
26,75,17,61,0,Summer
0,82,17,50,1,Winter
27,69,3,33,4,Spring
22,21,4.5,19,5,Summer
13,75,0.5,33,1,Spring
25,74,0,33,1,Summer
30,81,17,51,0,Autumn
15,73,23,86,2,Spring
23,28,5,0,11,Winter
37,62,3,18,10,Winter
-8,95,23.5,107,5,Winter
5,36,14.5,68,1,Autumn
21,97,19.5,74,3,Spring
17,51,10.5,21,2,Summer
22,71,9.5,55,1,Summer
36,66,2,13,6,Summer
25,65,7,0,10,Winter
27,55,4.5,35,1,Spring
54,106,26,83,1,Winter
28,51,6.5,8,10,Autumn
34,69,7.5,32,2,Spring
2,86,1.5,76,1,Winter
16,58,7.5,38,1,Winter
-7,85,2,99,0,Winter
-3,81,6,87,0,Winter
42,39,7.5,17,5,Spring
-5,69,17,76,1,Winter
12,69,17.5,73,2,Autumn
10,58,8.5,40,5,Winter
10,98,14,97,1,Spring
23,28,6.5,7,5,Summer
37,109,22,94,0,Autumn
24,79,12,12,3,Spring
36,96,36.5,91,10,Winter
44,29,1,12,10,Autumn
47,108,8,94,3,Summer
70,71,6.5,89,6,Autumn
30,72,5.5,97,0,Spring
10,94,13.5,62,1,Autumn
28,59,9,37,2,Spring
39,24,5.5,9,9,Winter
16,101,34.5,72,14,Summer
18,94,2.5,109,11,Summer
23,25,10,15,7,Spring
29,34,0.5,17,10,Spring
34,50,7.5,41,2,Winter
29,61,14,33,3,Autumn
9,108,27.5,103,10,Spring
-6,103,8,88,5,Winter
12,74,16,78,2,Winter
66,83,20.5,109,10,Summer
33,34,10,2,8,Summer
-8,85,9,91,1,Winter
29,95,15,56,2,Autumn
37,50,2.5,9,5,Spring
-2,63,7.5,94,0,Winter
-16,48,9,76,8,Spring
21,68,3,30,1,Autumn
36,21,4.5,19,6,Winter
20,51,3.5,34,4,Autumn
21,76,7,57,3,Autumn
12,62,5.5,79,4,Winter
12,77,4,45,4,Spring
10,57,8.5,36,4,Summer
34,31,5,6,7,Spring
31,96,14.5,92,12,Summer
13,97,8.5,96,3,Autumn
32,96,6.5,55,2,Summer
-15,71,14.5,41,13,Winter
36,81,7.5,104,8,Autumn
23,43,5,7,6,Autumn
30,59,5.5,49,1,Spring
-2,74,7,83,0,Winter
15,88,11,60,1,Autumn
28,71,10.5,79,1,Autumn
0,60,5,56,1,Winter
33,67,4.5,46,4,Spring
0,88,4.5,59,0,Winter
32,68,6,1,10,Spring
28,66,12.5,45,2,Winter
24,66,9.5,47,4,Winter
35,48,2.5,16,5,Autumn
10,44,7.5,28,13,Spring
-8,63,19.5,52,0,Winter
21,59,2.5,0,9,Autumn
11,70,7,12,3,Autumn
39,94,15.5,94,5,Autumn
-5,87,3.5,52,0,Winter
20,78,12.5,89,13,Autumn
17,74,10.5,103,12,Autumn
27,77,0,30,4,Summer
39,60,9.5,13,8,Spring
1,102,35,90,5,Winter
13,83,7,90,2,Winter
59,106,8.5,109,13,Winter
-1,93,13.5,62,0,Winter
32,66,1.5,33,1,Spring
0,78,19.5,85,0,Winter
-4,61,8,73,0,Winter
-2,94,14,60,1,Winter
42,26,6.5,6,7,Summer
11,86,16,64,2,Summer
25,24,7.5,18,5,Winter
26,95,12.5,66,1,Summer
14,96,16,59,2,Spring
-6,69,4,74,1,Winter
18,78,3,15,2,Summer
28,66,4,5,7,Summer
27,63,2.5,16,11,Autumn
15,75,6,30,2,Summer
-5,36,9,72,3,Winter
-2,68,9,97,0,Winter
31,59,14.5,20,1,Spring
29,55,7,20,4,Spring
18,69,13.5,43,4,Summer
17,54,1.5,20,4,Winter
32,59,7.5,43,1,Autumn
32,78,6.5,31,1,Spring
40,96,1,88,0,Summer
27,77,16,95,0,Summer
20,65,10,42,10,Autumn
-8,89,7,75,1,Winter
44,40,6,15,11,Autumn
17,63,9,10,3,Winter
23,109,0,91,4,Spring
17,65,15,60,3,Autumn
41,38,1.5,8,8,Winter
13,65,6.5,86,6,Autumn
24,54,14.5,10,1,Summer
25,51,4,3,9,Summer
22,47,2.5,1,7,Autumn
31,106,30,76,0,Summer
2,80,16,77,4,Winter
33,42,4,8,5,Spring
23,23,3.5,8,5,Spring
32,61,6,97,0,Spring
35,29,9,20,7,Autumn
13,50,6,13,1,Summer
12,54,10.5,47,3,Spring
26,33,7.5,6,8,Spring
23,63,3,18,5,Winter
23,104,3.5,76,8,Summer
-3,91,19.5,51,0,Winter
12,56,11.5,26,3,Winter
-6,95,3.5,82,11,Winter
5,104,12.5,79,0,Winter
4,62,7,68,0,Winter
-2,71,6,91,0,Winter
22,78,16.5,74,3,Summer
29,83,17.5,81,2,Winter
28,67,2.5,28,8,Summer
3,74,15.5,92,1,Winter
29,82,18,78,3,Spring
-10,75,8.5,94,0,Winter
18,75,11,20,4,Autumn
39,39,3.5,16,8,Summer
26,60,1.5,14,5,Autumn
0,83,18.5,78,1,Winter
29,91,19.5,86,0,Winter
-7,70,15,30,9,Winter
2,32,5,49,0,Spring
20,48,9,8,10,Summer
43,60,3.5,2,8,Spring
33,69,5,81,12,Autumn
26,83,10.5,72,1,Summer
34,53,6.5,41,1,Winter
31,71,11.5,51,2,Winter
16,103,17.5,95,12,Autumn
-8,96,16,91,1,Winter
12,56,0.5,48,3,Autumn
31,95,5.5,79,3,Autumn
15,95,5.5,54,1,Winter
20,79,9.5,40,1,Spring
38,40,5,11,9,Autumn
25,27,4,15,5,Autumn
34,45,7,8,9,Winter
19,65,5.5,34,5,Winter
27,72,15.5,57,1,Summer
37,57,3.5,16,5,Autumn
34,79,13.5,89,0,Summer
-16,98,4.5,73,0,Winter
31,29,7,16,5,Spring
21,108,18,96,9,Autumn
3,88,19,74,1,Winter
20,21,9,9,9,Autumn
31,52,7,19,7,Summer
39,34,3.5,5,7,Spring
80,76,3,93,13,Winter
16,50,9,32,1,Autumn
19,70,26.5,100,9,Summer
-9,94,0,56,1,Winter
19,91,6.5,68,2,Summer
-2,83,3.5,52,1,Winter
15,79,0,39,4,Summer
-19,51,10,26,6,Spring
26,50,3,20,1,Summer
18,98,21,92,8,Spring
44,65,6.5,3,8,Autumn
42,52,3,12,9,Summer
15,51,14,44,2,Summer
52,101,7,96,1,Summer
0,89,19.5,54,0,Winter
-9,88,5,63,0,Winter
41,46,0.5,11,10,Autumn
11,68,7,81,3,Summer
2,41,14.5,94,11,Winter
26,68,6.5,32,2,Spring
19,87,1,70,3,Winter
15,99,13.5,80,14,Spring
33,60,7,37,2,Summer
26,71,4,39,4,Spring
31,94,5,53,3,Winter
34,89,5.5,85,0,Spring
-10,76,17,51,1,Winter
45,95,3,107,1,Spring
29,81,5,95,2,Winter
24,94,5.5,58,2,Winter
14,95,15,52,3,Spring
28,66,1.5,8,6,Winter
16,79,12.5,65,1,Spring
17,66,9.5,28,4,Summer
22,76,2.5,35,4,Summer
38,49,11.5,56,13,Autumn
31,69,5.5,73,3,Winter
-13,102,18,93,9,Winter
23,94,18,50,1,Summer
19,76,9.5,14,2,Spring
39,84,32.5,71,3,Winter
4,74,8.5,77,1,Winter
2,80,12.5,93,1,Winter
-9,77,3,97,0,Winter
23,63,2,16,4,Spring
13,60,5.5,31,2,Spring
19,59,1,25,3,Autumn
17,89,17.5,89,1,Spring
41,20,1.5,13,5,Winter
6,76,2.5,64,6,Spring
33,36,4.5,2,7,Winter
11,57,5,19,1,Summer
4,81,9,72,0,Winter
30,73,13.5,67,0,Summer
27,64,2,42,4,Summer
32,91,5.5,67,3,Summer
-2,60,11,61,0,Winter
-18,70,11,12,14,Summer
3,72,10,78,1,Winter
-8,92,5.5,54,1,Winter
4,75,10.5,69,12,Spring
34,71,4,42,4,Summer
38,44,5.5,7,5,Summer
22,57,5,2,5,Autumn
20,20,8,7,6,Spring
-8,60,6,77,0,Winter
47,72,11.5,108,12,Autumn
-9,70,5,67,0,Winter
39,42,3,19,7,Winter
21,86,9.5,58,1,Spring
-3,99,5,87,1,Winter
29,46,6,9,5,Spring
30,60,6.5,75,1,Autumn
39,29,0.5,16,5,Spring
30,64,7,51,3,Summer
-1,82,3,64,1,Winter
26,82,18.5,90,2,Spring
11,74,6,86,3,Spring
26,23,3,13,5,Summer
12,75,19.5,66,1,Autumn
-12,24,3,50,3,Summer
32,60,9,52,3,Winter
24,80,32,84,1,Autumn
24,78,7,27,4,Summer
36,33,8.5,2,6,Summer
-7,81,6,85,0,Winter
21,58,7.5,16,2,Autumn
16,76,9,65,3,Spring
-19,26,7.5,20,10,Spring
18,71,9,91,1,Spring
-8,63,0.5,73,1,Winter
1,63,11.5,82,0,Winter
19,91,10,62,2,Winter
35,40,7,5,9,Summer
-4,74,17,56,1,Winter
20,98,18,78,0,Autumn
34,24,10,1,10,Summer
40,26,9,19,6,Summer
33,80,14,77,1,Autumn
-2,96,6,66,0,Winter
0,84,17,96,0,Winter
-2,106,24,73,13,Winter
34,67,18,88,1,Summer
13,73,3,33,2,Spring
2,100,27,82,12,Winter
2,95,10.5,50,0,Winter
0,76,14.5,95,1,Winter
-9,70,6.5,93,1,Winter
29,70,7.5,91,2,Spring
14,65,17.5,74,2,Winter
22,69,11.5,26,4,Summer
21,90,15,83,1,Summer
24,51,8,26,2,Spring
15,91,6.5,92,0,Spring
37,64,4,54,6,Autumn
30,58,1.5,41,3,Summer
20,63,20,55,3,Summer
29,103,22.5,97,8,Summer
27,21,1.5,9,7,Autumn
36,78,12.5,86,7,Winter
42,95,16.5,105,6,Spring
-8,68,11,76,0,Winter
33,26,6.5,5,7,Summer
3,64,15,54,0,Winter
10,77,11.5,79,3,Autumn
-10,65,7.5,78,0,Winter
3,96,3,68,1,Winter
-6,60,12,79,1,Winter
12,24,10,12,14,Winter
-10,97,4,93,1,Winter
34,77,4,46,1,Winter
11,87,15.5,66,1,Winter
-5,80,3,99,0,Winter
28,65,6.5,44,3,Autumn
18,63,1,15,1,Winter
21,35,1,19,5,Winter
14,90,18,73,3,Winter
33,63,4,15,7,Autumn
11,93,10,63,3,Autumn
28,33,7,33,0,Summer
20,67,0,48,4,Winter
-6,70,9.5,62,1,Winter
11,87,19.5,84,2,Spring
33,65,7.5,45,1,Summer
22,62,14,91,3,Spring
27,50,4.5,15,10,Spring
-7,98,1,98,0,Winter
12,69,4.5,29,4,Autumn
-11,69,13,31,0,Spring
35,49,3.5,13,5,Spring
-10,68,3,70,0,Winter
-13,48,7.5,34,6,Summer
33,85,27.5,84,0,Winter
25,92,31,90,6,Autumn
25,51,3.5,6,10,Winter
44,64,9,15,5,Summer
31,63,17,53,1,Spring
26,84,17,96,5,Spring
20,67,4,27,2,Spring
28,53,8,16,6,Summer
4,85,13,95,0,Winter
28,104,21,109,0,Spring
21,61,2,33,4,Autumn
3,89,7,82,1,Winter
-3,96,3,91,8,Winter
28,63,5,2,10,Winter
39,69,4.5,11,8,Winter
-13,52,5.5,75,14,Spring
26,54,13,46,1,Autumn
29,51,11.5,14,3,Winter
38,22,5,7,8,Autumn
26,99,18,67,2,Summer
48,40,7,91,3,Autumn
21,57,2.5,45,1,Autumn
74,101,18,76,6,Spring
40,21,5.5,7,7,Autumn
35,42,6,11,5,Summer
3,97,3,66,1,Winter
23,83,9.5,90,3,Winter
19,74,6.5,37,2,Winter
32,71,14,24,4,Summer
4,57,7,62,9,Winter
-8,82,13,90,1,Winter
16,82,27.5,81,3,Autumn
13,52,11.5,44,3,Summer
18,73,11.5,12,1,Spring
43,30,5.5,7,5,Summer
14,73,13,40,1,Autumn
10,53,6,43,4,Summer
28,72,8,71,1,Summer
-7,72,6.5,94,0,Winter
3,89,17,80,1,Winter
10,63,15.5,98,2,Spring
23,75,13,48,2,Winter
30,65,10,67,2,Spring
76,91,13.5,82,1,Autumn
-8,70,2.5,84,1,Winter
9,82,16.5,107,4,Summer
5,83,30.5,96,13,Winter
14,81,18.5,79,1,Spring
10,76,15,53,0,Spring
15,63,10,83,0,Summer
33,96,24.5,97,5,Winter
25,68,0,37,2,Winter
24,63,14.5,47,1,Spring
-5,76,11,86,1,Winter
16,67,6.5,30,4,Summer
26,97,20.5,81,12,Spring
22,62,9,26,1,Autumn
-10,87,1.5,76,1,Winter
22,56,0.5,29,1,Spring
28,46,8,11,6,Winter
0,71,1.5,67,1,Winter
12,82,18,78,1,Winter
32,93,15,51,0,Autumn
-10,96,13,97,1,Winter
30,51,3,48,3,Autumn
-6,67,12,89,0,Winter
31,69,16,50,2,Winter
36,61,2.5,14,5,Winter
-9,96,0,65,0,Winter
23,57,12.5,21,2,Autumn
33,53,6,44,2,Spring
55,96,3,84,12,Spring
44,24,2.5,97,0,Summer
30,53,2,22,2,Spring
29,71,7.5,22,1,Autumn
-3,96,5,53,1,Winter
19,67,12.5,98,1,Autumn
23,70,9.5,38,1,Summer
22,66,7,23,2,Winter
24,51,6,60,1,Autumn
55,103,22.5,95,5,Winter
37,40,2,13,5,Spring
34,68,10.5,62,2,Summer
23,67,9,21,1,Spring
0,94,9.5,76,0,Winter
-10,61,7.5,50,0,Winter
-1,83,19,85,7,Winter
21,101,11.5,77,10,Summer
12,98,19.5,61,1,Winter
30,60,12,14,1,Autumn
18,39,12,39,6,Spring
24,83,20,101,3,Winter
12,93,9.5,86,0,Spring
27,75,21,70,6,Spring
20,83,11,70,1,Spring
-4,86,14.5,84,1,Winter
-20,42,10,42,7,Autumn
38,48,3.5,5,5,Autumn
27,107,30.5,70,11,Summer
25,64,11.5,58,2,Spring
25,67,7.5,62,3,Autumn
20,61,1,4,6,Summer
10,70,12,30,3,Winter
22,75,10,31,4,Winter
4,81,9.5,80,1,Winter
11,50,1.5,14,3,Winter
14,65,16.5,96,0,Autumn
33,97,18.5,82,0,Winter
-9,85,15,88,1,Winter
18,75,15.5,67,0,Spring
2,91,10.5,93,1,Winter
19,66,5,64,0,Autumn
25,54,7,47,3,Spring
31,36,1,95,12,Winter
59,95,10.5,74,6,Summer
34,68,13,62,1,Summer
41,69,10,27,3,Autumn
-6,49,13.5,49,11,Summer
4,63,9.5,59,0,Winter
0,82,17.5,92,0,Winter
35,38,1,86,11,Summer
37,25,9.5,6,6,Spring
18,70,9,92,3,Spring
23,21,0,16,6,Autumn
38,74,11.5,35,12,Spring
27,52,5.5,12,11,Summer
31,60,7,81,1,Winter
20,55,6.5,42,1,Spring
34,62,13.5,60,2,Spring
17,73,17.5,93,1,Winter
16,66,13.5,19,2,Autumn
13,85,9.5,71,0,Summer
29,75,11.5,14,1,Winter
-10,95,4,62,0,Winter
30,90,13,63,1,Spring
34,20,4.5,36,6,Summer
19,95,2,74,4,Spring
20,69,7,82,1,Autumn
25,93,11.5,96,3,Summer
21,50,5,47,3,Winter
2,93,1.5,109,2,Winter
28,35,1.5,73,0,Summer
31,68,13.5,82,3,Spring
18,67,15,73,0,Autumn
-16,27,14.5,64,10,Autumn
16,80,9,85,6,Spring
29,58,0,28,3,Spring
-3,87,11.5,89,1,Winter
-6,60,6.5,54,0,Winter
39,36,0.5,13,5,Spring
31,97,19.5,50,3,Autumn
9,70,7.5,12,2,Winter
28,39,1.5,0,8,Spring
30,61,10.5,28,3,Autumn
-10,69,8,97,0,Winter
15,87,5,68,2,Spring
3,81,9.5,93,0,Winter
15,53,11.5,41,3,Winter
33,80,9.5,53,2,Autumn
27,66,4,1,9,Summer
36,81,8,97,10,Spring
21,61,6,17,3,Autumn
17,94,12.5,79,3,Winter
31,91,29.5,104,8,Summer
-3,65,9,55,0,Winter
29,30,6,12,10,Winter
34,78,9,42,1,Winter
24,41,3,11,7,Autumn
20,32,5,2,8,Winter
35,55,9,9,9,Summer
-2,82,19.5,85,1,Winter
17,72,2.5,40,3,Spring
-5,68,8,56,1,Winter
9,73,10,84,14,Spring
15,65,5,10,4,Winter
23,21,6.5,17,7,Winter
10,73,10.5,49,1,Winter
-7,69,3,86,1,Winter
41,56,4.5,6,8,Autumn
-7,93,0.5,51,1,Winter
-2,101,19.5,101,0,Winter
57,103,11,71,1,Summer
24,94,19.5,58,0,Spring
16,52,4,29,4,Autumn
28,37,7,16,6,Spring
2,69,9.5,93,0,Winter
28,67,3,18,10,Winter
37,76,10.5,86,3,Winter
42,85,37,100,11,Summer
36,21,6.5,6,8,Spring
-1,56,5,70,14,Winter
-6,80,1.5,74,13,Winter
40,99,13,101,12,Autumn
20,29,4.5,5,6,Winter
91,106,2.5,92,6,Winter
25,57,13.5,22,1,Winter
47,106,5.5,104,12,Autumn
17,65,7,64,0,Spring
-15,74,6.5,53,6,Summer
82,74,19.5,81,10,Spring
10,20,9,60,7,Spring
42,62,8.5,13,5,Summer
16,67,9,16,1,Winter
41,53,2.5,1,9,Spring
3,82,17,59,0,Winter
30,60,11,15,2,Winter
3,97,20,89,0,Winter
49,34,3,64,9,Autumn
37,36,8.5,0,6,Autumn
26,24,3,17,6,Summer
24,63,8.5,67,3,Autumn
66,83,18,92,14,Winter
19,70,10,21,1,Winter
26,51,4.5,46,2,Summer
25,23,0.5,1,10,Summer
0,102,19.5,85,12,Winter
30,38,5,2,5,Summer
22,72,12,69,1,Spring
29,71,21,86,12,Winter
32,104,27,107,3,Winter
24,88,44.5,76,1,Spring
20,67,7,6,5,Spring
16,76,6,36,2,Summer
